
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1500
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       6328
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       14320
  TCP    0.0.0.0:24563          0.0.0.0:0              LISTENING       5020
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       5788
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1180
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       580
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1864
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2288
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3180
  TCP    0.0.0.0:49681          0.0.0.0:0              LISTENING       1160
  TCP    0.0.0.0:57621          0.0.0.0:0              LISTENING       1372
  TCP    0.0.0.0:58740          0.0.0.0:0              LISTENING       1372
  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING       10212
  TCP    127.0.0.1:7768         0.0.0.0:0              LISTENING       1372
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       5788
  TCP    127.0.0.1:27060        127.0.0.1:62053        ESTABLISHED     5788
  TCP    127.0.0.1:50622        0.0.0.0:0              LISTENING       16956
  TCP    127.0.0.1:55001        0.0.0.0:0              LISTENING       7444
  TCP    127.0.0.1:59538        127.0.0.1:60065        ESTABLISHED     2816
  TCP    127.0.0.1:59554        0.0.0.0:0              LISTENING       5788
  TCP    127.0.0.1:59554        127.0.0.1:61480        ESTABLISHED     5788
  TCP    127.0.0.1:59555        0.0.0.0:0              LISTENING       5788
  TCP    127.0.0.1:59555        127.0.0.1:61479        ESTABLISHED     5788
  TCP    127.0.0.1:60065        0.0.0.0:0              LISTENING       18396
  TCP    127.0.0.1:60065        127.0.0.1:59538        ESTABLISHED     18396
  TCP    127.0.0.1:60065        127.0.0.1:60073        ESTABLISHED     18396
  TCP    127.0.0.1:60065        127.0.0.1:60074        ESTABLISHED     18396
  TCP    127.0.0.1:60065        127.0.0.1:62126        ESTABLISHED     18396
  TCP    127.0.0.1:60065        127.0.0.1:62127        ESTABLISHED     18396
  TCP    127.0.0.1:60065        127.0.0.1:62128        ESTABLISHED     18396
  TCP    127.0.0.1:60065        127.0.0.1:62129        ESTABLISHED     18396
  TCP    127.0.0.1:60065        127.0.0.1:64181        ESTABLISHED     18396
  TCP    127.0.0.1:60066        0.0.0.0:0              LISTENING       2816
  TCP    127.0.0.1:60066        127.0.0.1:60195        ESTABLISHED     2816
  TCP    127.0.0.1:60066        127.0.0.1:62110        ESTABLISHED     2816
  TCP    127.0.0.1:60067        0.0.0.0:0              LISTENING       2816
  TCP    127.0.0.1:60072        0.0.0.0:0              LISTENING       2816
  TCP    127.0.0.1:60072        127.0.0.1:62109        ESTABLISHED     2816
  TCP    127.0.0.1:60073        127.0.0.1:60065        ESTABLISHED     2816
  TCP    127.0.0.1:60074        127.0.0.1:60065        ESTABLISHED     2816
  TCP    127.0.0.1:60195        127.0.0.1:60066        ESTABLISHED     20936
  TCP    127.0.0.1:61479        127.0.0.1:59555        ESTABLISHED     8804
  TCP    127.0.0.1:61480        127.0.0.1:59554        ESTABLISHED     8804
  TCP    127.0.0.1:62053        127.0.0.1:27060        ESTABLISHED     8804
  TCP    127.0.0.1:62109        127.0.0.1:60072        ESTABLISHED     18396
  TCP    127.0.0.1:62110        127.0.0.1:60066        ESTABLISHED     18396
  TCP    127.0.0.1:62121        0.0.0.0:0              LISTENING       18396
  TCP    127.0.0.1:62121        127.0.0.1:62122        ESTABLISHED     18396
  TCP    127.0.0.1:62122        127.0.0.1:62121        ESTABLISHED     2816
  TCP    127.0.0.1:62126        127.0.0.1:60065        ESTABLISHED     2816
  TCP    127.0.0.1:62127        127.0.0.1:60065        ESTABLISHED     2816
  TCP    127.0.0.1:62128        127.0.0.1:60065        ESTABLISHED     2816
  TCP    127.0.0.1:62129        127.0.0.1:60065        ESTABLISHED     2816
  TCP    127.0.0.1:64181        127.0.0.1:60065        ESTABLISHED     2816
  TCP    192.168.100.54:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.100.54:49245   18.199.184.76:443      ESTABLISHED     268
